Serie,Temporada,Episodio,Titulo,Tipo,Data,Dia,Mes,Ano,Dia Semana,Genero,Data_dia,Feriado
The Royal House of Windsor,Adaptar ou morrer,,,Série,2021-01-30,30,Janeiro,2021,Sábado,Documentário,2021-01-30,False
O Código Bill Gates,Minissérie,Parte 3,,Série,2021-01-30,30,Janeiro,2021,Sábado,Documentário,2021-01-30,False
Amor além da vida,,,,Filme,2021-01-30,30,Janeiro,2021,Sábado,Romance,2021-01-30,False
O Código Bill Gates,Minissérie,Parte 2,,Série,2021-01-30,30,Janeiro,2021,Sábado,Documentário,2021-01-30,False
O Código Bill Gates,Minissérie,Parte 1,,Série,2021-01-30,30,Janeiro,2021,Sábado,Documentário,2021-01-30,False
Nosso Planeta,Temporada 1,Selvas,,Série,2021-01-29,29,Janeiro,2021,Sexta-feira,Documentário,2021-01-29,False
Nosso Planeta,Temporada 1,Mundos congelados,,Série,2021-01-29,29,Janeiro,2021,Sexta-feira,Documentário,2021-01-29,False
Nosso Planeta,Temporada 1,Um só planeta,,Série,2021-01-29,29,Janeiro,2021,Sexta-feira,Documentário,2021-01-29,False
Kardec,,,,Filme,2021-01-26,26,Janeiro,2021,Terça-feira,Biografia,2021-01-26,False
Pai Em Dobro,,,,Filme,2021-01-24,24,Janeiro,2021,Domingo,Comédia,2021-01-24,False
The Crown,Temporada 1,Ato Divino,,Série,2021-01-24,24,Janeiro,2021,Domingo,Drama,2021-01-24,False
The Crown,Temporada 1,Windsor,,Série,2021-01-24,24,Janeiro,2021,Domingo,Drama,2021-01-24,False
The Crown,Temporada 1,Hyde Park Corner,,Série,2021-01-24,24,Janeiro,2021,Domingo,Drama,2021-01-24,False
The Crown,Temporada 1,Wolferton Splash,,Série,2021-01-23,23,Janeiro,2021,Sábado,Drama,2021-01-23,False
O Dilema das Redes,,,,Filme,2021-01-20,20,Janeiro,2021,Quarta-feira,Documentário,2021-01-20,False
Tempestade,Planeta em Fúria,,,Série,2021-01-16,16,Janeiro,2021,Sábado,Suspense,2021-01-16,False
Vida Após a Morte,Médiuns – Parte 2,,,Série,2021-01-16,16,Janeiro,2021,Sábado,Documentário,2021-01-16,False
Vida Após a Morte,Médiuns – Parte 1,,,Série,2021-01-16,16,Janeiro,2021,Sábado,Documentário,2021-01-16,False
Vida Após a Morte,Relatos dos ressuscitados,,,Série,2021-01-15,15,Janeiro,2021,Sexta-feira,Documentário,2021-01-15,False
Bridgerton,Temporada 1,Depois da tempestade,,Série,2021-01-10,10,Janeiro,2021,Domingo,Romance,2021-01-10,False
Bridgerton,Temporada 1,Um oceano de distância,,Série,2021-01-10,10,Janeiro,2021,Domingo,Romance,2021-01-10,False
Bridgerton,Temporada 1,Farfalhar,,Série,2021-01-10,10,Janeiro,2021,Domingo,Romance,2021-01-10,False
Bridgerton,Temporada 1,O duque e eu,,Série,2021-01-10,10,Janeiro,2021,Domingo,Romance,2021-01-10,False
Bridgerton,Temporada 1,Questão de honra,,Série,2021-01-10,10,Janeiro,2021,Domingo,Romance,2021-01-10,False
Bridgerton,Temporada 1,A arte de desfalecer,,Série,2021-01-10,10,Janeiro,2021,Domingo,Romance,2021-01-10,False
Bridgerton,Temporada 1,Choque e deleite,,Série,2021-01-10,10,Janeiro,2021,Domingo,Romance,2021-01-10,False
Bridgerton,Temporada 1,Diamante raro,,Série,2021-01-10,10,Janeiro,2021,Domingo,Romance,2021-01-10,False
2020 Nunca Mais,,,,Filme,2021-01-10,10,Janeiro,2021,Domingo,Comédia,2021-01-10,False
O Gambito da Rainha,Minissérie,Fim de jogo,,Série,2021-01-09,9,Janeiro,2021,Sábado,Drama,2021-01-09,False
O Gambito da Rainha,Minissérie,Partidas adiadas,,Série,2021-01-09,9,Janeiro,2021,Sábado,Drama,2021-01-09,False
O Gambito da Rainha,Minissérie,Treinamento,,Série,2021-01-07,7,Janeiro,2021,Quinta-feira,Drama,2021-01-07,False
O Gambito da Rainha,Minissérie,Meio de jogo,,Série,2020-12-28,28,Dezembro,2020,Segunda-feira,Drama,2020-12-28,False
O Gambito da Rainha,Minissérie,Peões duplos,,Série,2020-12-25,25,Dezembro,2020,Sexta-feira,Drama,2020-12-25,True
O Gambito da Rainha,Minissérie,O torneio,,Série,2020-12-22,22,Dezembro,2020,Terça-feira,Drama,2020-12-22,False
Friends,Temporada 8,Aquele com o videotape,,Série,2020-12-20,20,Dezembro,2020,Domingo,Comédia,2020-12-20,False
Friends,Temporada 8,Aquele em que Rachel conta...,,Série,2020-12-20,20,Dezembro,2020,Domingo,Comédia,2020-12-20,False
Friends,Temporada 8,Aquele do suéter vermelho,,Série,2020-12-20,20,Dezembro,2020,Domingo,Comédia,2020-12-20,False
Friends,Temporada 8,Aquele depois do sim,,Série,2020-12-20,20,Dezembro,2020,Domingo,Comédia,2020-12-20,False
Friends,Temporada 9,Aquele em que ninguém faz o pedido,,Série,2020-12-20,20,Dezembro,2020,Domingo,Comédia,2020-12-20,False
Friends,Aquele onde tudo começou,,,Série,2020-12-20,20,Dezembro,2020,Domingo,Comédia,2020-12-20,False
O Gambito da Rainha,Minissérie,Aberturas,,Série,2020-12-13,13,Dezembro,2020,Domingo,Drama,2020-12-13,False
O Juiz,,,,Filme,2020-12-12,12,Dezembro,2020,Sábado,Drama,2020-12-12,False
Shrek Bate o Sino,,,,Filme,2020-12-06,6,Dezembro,2020,Domingo,Comédia,2020-12-06,False
Tudo Bem No Natal Que Vem,,,,Filme,2020-12-05,5,Dezembro,2020,Sábado,Comédia,2020-12-05,False
Explicando - A Mente,Temporada 1,Meditação,,Série,2020-12-05,5,Dezembro,2020,Sábado,Documentário,2020-12-05,False
Explicando - A Mente,Temporada 1,Ansiedade,,Série,2020-12-05,5,Dezembro,2020,Sábado,Documentário,2020-12-05,False
Explicando - A Mente,Temporada 1,Sonhos,,Série,2020-12-05,5,Dezembro,2020,Sábado,Documentário,2020-12-05,False
Explicando - A Mente,Temporada 1,Memória,,Série,2020-12-05,5,Dezembro,2020,Sábado,Documentário,2020-12-05,False
