Serie,Temporada,Episodio,Titulo,Tipo,Data,Dia,Mes,Ano,Dia Semana,Genero,Data_dia,Feriado
Rotten,Temporada 2,A guerra do abacate,,Série,2021-10-10,10,Outubro,2021,Domingo,Documentário,2021-10-10,False
Virgin River,Temporada 3,"Um casamento, nenhum funeral e um bebê",,Série,2021-10-10,10,Outubro,2021,Domingo,Drama,2021-10-10,False
Virgin River,Temporada 3,O sol também se levanta,,Série,2021-10-10,10,Outubro,2021,Domingo,Drama,2021-10-10,False
Virgin River,Temporada 3,Vida e morte,,Série,2021-10-10,10,Outubro,2021,Domingo,Drama,2021-10-10,False
Virgin River,Temporada 3,Divisão,,Série,2021-10-10,10,Outubro,2021,Domingo,Drama,2021-10-10,False
Virgin River,Temporada 3,Jack e Jill,,Série,2021-10-10,10,Outubro,2021,Domingo,Drama,2021-10-10,False
Virgin River,Temporada 3,Kindling,,Série,2021-10-10,10,Outubro,2021,Domingo,Drama,2021-10-10,False
Virgin River,Temporada 3,De tirar o fôlego,,Série,2021-10-02,2,Outubro,2021,Sábado,Drama,2021-10-02,False
Virgin River,Temporada 3,Corações partidos,,Série,2021-10-02,2,Outubro,2021,Sábado,Drama,2021-10-02,False
Seleção Artificial,Minissérie,Os pioneiros,,Série,2021-10-02,2,Outubro,2021,Sábado,Documentário,2021-10-02,False
Seleção Artificial,Minissérie,Editando a vida,,Série,2021-10-02,2,Outubro,2021,Sábado,Documentário,2021-10-02,False
Virgin River,Temporada 3,Pés grudentos,,Série,2021-10-01,1,Outubro,2021,Sexta-feira,Drama,2021-10-01,False
Virgin River,Temporada 3,Onde há fumaça...,,Série,2021-10-01,1,Outubro,2021,Sexta-feira,Drama,2021-10-01,False
Virgin River,Temporada 2,Emoções fortes,,Série,2021-10-01,1,Outubro,2021,Sexta-feira,Drama,2021-10-01,False
Klaus,,,,Filme,2021-09-26,26,Setembro,2021,Domingo,Infantil,2021-09-26,False
O Resgate dos Desejos de Natal,,,,Filme,2021-09-26,26,Setembro,2021,Domingo,Comédia,2021-09-26,False
Cidade de Gelo,,,,Filme,2021-09-26,26,Setembro,2021,Domingo,Drama,2021-09-26,False
Andar Montar Rodeio - A Virada de Amberley,,,,Filme,2021-09-26,26,Setembro,2021,Domingo,Drama,2021-09-26,False
Steve Jobs,,,,Filme,2021-09-25,25,Setembro,2021,Sábado,Biografia,2021-09-25,False
For Life,Promessas,,,Série,2021-09-25,25,Setembro,2021,Sábado,Drama,2021-09-25,False
For Life,Piloto,,,Série,2021-09-25,25,Setembro,2021,Sábado,Drama,2021-09-25,False
Fantasmas do Abismo,,,,Filme,2021-09-12,12,Setembro,2021,Domingo,Documentário,2021-09-12,False
Virgin River,Temporada 2,Perigos à frente,,Série,2021-09-12,12,Setembro,2021,Domingo,Drama,2021-09-12,False
Virgin River,Temporada 2,Pontos cegos,,Série,2021-09-12,12,Setembro,2021,Domingo,Drama,2021-09-12,False
Virgin River,Temporada 2,Ajuda e dor,,Série,2021-09-12,12,Setembro,2021,Domingo,Drama,2021-09-12,False
Virgin River,Temporada 2,Passado,,Série,2021-09-12,12,Setembro,2021,Domingo,Drama,2021-09-12,False
Virgin River,Temporada 2,Impossível esquecer,,Série,2021-09-12,12,Setembro,2021,Domingo,Drama,2021-09-12,False
Virgin River,Temporada 2,Fofoca,,Série,2021-09-07,7,Setembro,2021,Terça-feira,Drama,2021-09-07,True
Virgin River,Temporada 2,A manhã seguinte,,Série,2021-09-01,1,Setembro,2021,Quarta-feira,Drama,2021-09-01,False
Virgin River,Temporada 2,Surpresas,,Série,2021-09-01,1,Setembro,2021,Quarta-feira,Drama,2021-09-01,False
Virgin River,Temporada 2,Novos começos,,Série,2021-09-01,1,Setembro,2021,Quarta-feira,Drama,2021-09-01,False
João de Deus - Cura e Crime,Justiça?,,,Série,2021-09-01,1,Setembro,2021,Quarta-feira,Documentário,2021-09-01,False
Virgin River,Temporada 1,Finais inesperados,,Série,2021-08-29,29,Agosto,2021,Domingo,Drama,2021-08-29,False
Virgin River,Temporada 1,Todo mundo tem segredos,,Série,2021-08-29,29,Agosto,2021,Domingo,Drama,2021-08-29,False
Virgin River,Temporada 1,Fez-se a luz,,Série,2021-08-29,29,Agosto,2021,Domingo,Drama,2021-08-29,False
João de Deus - Cura e Crime,O Processo,,,Série,2021-08-29,29,Agosto,2021,Domingo,Documentário,2021-08-29,False
João de Deus - Cura e Crime,O Escândalo,,,Série,2021-08-29,29,Agosto,2021,Domingo,Documentário,2021-08-29,False
Virgin River,Temporada 1,Verdades reveladas,,Série,2021-08-28,28,Agosto,2021,Sábado,Drama,2021-08-28,False
Virgin River,Temporada 1,Folia do Luar,,Série,2021-08-28,28,Agosto,2021,Sábado,Drama,2021-08-28,False
Virgin River,Temporada 1,Sob fogo,,Série,2021-08-28,28,Agosto,2021,Sábado,Drama,2021-08-28,False
Virgin River,Temporada 1,Coração machucado,,Série,2021-08-28,28,Agosto,2021,Sábado,Drama,2021-08-28,False
Virgin River,Temporada 1,Encontrada,,Série,2021-08-28,28,Agosto,2021,Sábado,Drama,2021-08-28,False
João de Deus - Cura e Crime,O Curador,,,Série,2021-08-28,28,Agosto,2021,Sábado,Documentário,2021-08-28,False
Irmão do Jorel,Temporada 2,Embalos De SáBado À Tarde,,Série,2021-08-15,15,Agosto,2021,Domingo,Infantil,2021-08-15,True
Irmão do Jorel,Temporada 2,Mc Juju,,Série,2021-08-15,15,Agosto,2021,Domingo,Infantil,2021-08-15,True
Irmão do Jorel,Temporada 2,A Vida Secreta Dos Belezitos,,Série,2021-08-15,15,Agosto,2021,Domingo,Infantil,2021-08-15,True
Irmão do Jorel,Temporada 2,Então É Natal,,Série,2021-08-15,15,Agosto,2021,Domingo,Infantil,2021-08-15,True
Irmão do Jorel,Temporada 2,Acampamento Brutal,,Série,2021-08-15,15,Agosto,2021,Domingo,Infantil,2021-08-15,True
Irmão do Jorel,Temporada 2,A Fantástica Fábrica De Refrigerantes,,Série,2021-08-15,15,Agosto,2021,Domingo,Infantil,2021-08-15,True
Irmão do Jorel,Temporada 2,Excursão Alucinante Sem Freio,,Série,2021-08-15,15,Agosto,2021,Domingo,Infantil,2021-08-15,True
Irmão do Jorel,Temporada 2,Carlos Felino Conselheiro Amoroso,,Série,2021-08-15,15,Agosto,2021,Domingo,Infantil,2021-08-15,True
Virgin River,Temporada 1,Perdidos,,Série,2021-08-11,11,Agosto,2021,Quarta-feira,Drama,2021-08-11,False
Virgin River,Temporada 1,Seguir em frente,,Série,2021-08-11,11,Agosto,2021,Quarta-feira,Drama,2021-08-11,False
Diagnóstico,Questão de confiança,,,Série,2021-08-08,8,Agosto,2021,Domingo,Documentário,2021-08-08,False
